"Name of University","Research Score"
"University of Oxford","99.7"
"Harvard University","99"
"University of Cambridge","99.5"
"Stanford University","96.7"
"Massachusetts Institute of Technology","93.6"
"California Institute of Technology","97"
"Princeton University","95.9"
"University of California, Berkeley","95.8"
"Yale University","92.7"
"Imperial College London","90.8"
"Columbia University","87.7"
"ETH Zurich","95.4"
"The University of Chicago","88.8"
"University of Pennsylvania","88.8"
"Johns Hopkins University","91.5"
"Tsinghua University","97.4"
"Peking University","96.7"
"University of Toronto","93.3"
"National University of Singapore","93"
"Cornell University","86.1"
"University of California, Los Angeles","88.9"
"UCL","85.4"
"University of Michigan-Ann Arbor","84.6"
"New York University","84"
"Duke University","76.2"
"Northwestern University","80.7"
"University of Washington","82.8"
"Carnegie Mellon University","81.8"
"University of Edinburgh","74.5"
"Technical University of Munich","82.2"
"University of Hong Kong","74.1"
"University of California, San Diego","77.2"
"LMU Munich","78.3"
"University of Melbourne","75.9"
"King’s College London","72.9"
"Nanyang Technological University, Singapore","77.9"
"London School of Economics and Political Science","74.3"
"Georgia Institute of Technology","75.9"
"The University of Tokyo","91.4"
"University of British Columbia","73.1"
"École Polytechnique Fédérale de Lausanne","70.7"
"KU Leuven","74.9"
"Universität Heidelberg","61.5"
"Monash University","68.7"
"Chinese University of Hong Kong","61.1"
"McGill University","72.4"
"Paris Sciences et Lettres – PSL Research University Paris","73.5"
"University of Illinois at Urbana-Champaign","78.9"
"Karolinska Institute","68.8"
"University of Texas at Austin","73.1"
"Fudan University","75.8"
"Shanghai Jiao Tong University","82.9"
"The University of Queensland","66.5"
"University of Manchester","63.7"
"The University of Sydney","65.8"
"Seoul National University","76.2"
"Washington University in St Louis","56.8"
"The Hong Kong University of Science and Technology","63.4"
"Wageningen University & Research","60.2"
"University of Amsterdam","64.1"
"Brown University","58"
"Australian National University","69.2"
"University of California, Davis","66.3"
"University of California, Santa Barbara","61.5"
"University of Southern California","58.6"
"Utrecht University","66"
"Zhejiang University","74.8"
"Kyoto University","79.1"
"University of North Carolina at Chapel Hill","59.7"
"Delft University of Technology","76.4"
"Boston University","56.1"
"UNSW Sydney","59"
"Charité - Universitätsmedizin Berlin","52.2"
"University of Science and Technology of China","64.9"
"University of Groningen","57.6"
"University of Bristol","53.4"
"Leiden University","64.4"
"Yonsei University (Seoul campus)","68.9"
"Hong Kong Polytechnic University","57"
"Erasmus University Rotterdam","57.1"
"University of Wisconsin-Madison","62.9"
"Emory University","46"
"University of Glasgow","50.8"
"University of Zurich","50.7"
"McMaster University","51.1"
"Humboldt University of Berlin","64.3"
"University of Tübingen","58.2"
"University of Adelaide","51.8"
"University of Bonn","56.1"
"Sorbonne University","58.3"
"Free University of Berlin","62.4"
"Korea Advanced Institute of Science and Technology (KAIST)","66"
"Université Paris-Saclay","55.2"
"University of Bern","46.5"
"University of California, Irvine","51.6"
